x,y,theta
-1.036600,2.386506,3.054966
-1.043654,2.386169,3.032072
-1.046321,2.385827,3.016804
-1.045387,2.385501,3.016185
-1.045387,2.385501,3.016185
-1.041177,2.384853,2.989026
-1.041177,2.384853,2.989026
-1.030429,2.383296,2.967978
-1.030429,2.383296,2.967978
-1.016836,2.381413,2.953616
-1.005101,2.379485,2.941614
-0.991508,2.377333,2.929465
-0.991508,2.377333,2.929465
-0.950857,2.369175,2.896563
-0.941083,2.367288,2.890998
-0.921466,2.362969,2.884176
-0.900444,2.357874,2.876510
-0.880084,2.352858,2.865776
-0.866859,2.349480,2.855260
-0.853615,2.346645,2.838542
-0.843066,2.344040,2.832672
-0.834944,2.342343,2.816871
-0.828848,2.341707,2.801903
-0.824751,2.341275,2.796095
-0.823189,2.341662,2.786555
-0.823723,2.342777,2.774866
-0.826365,2.344434,2.747958
-0.830574,2.346610,2.737161
-0.835750,2.349227,2.745584
-0.843609,2.352891,2.725224
-0.853173,2.357014,2.698293
-0.855279,2.357916,2.705189
-0.855605,2.358338,2.710178
-0.855661,2.358272,2.712600
-0.853705,2.357074,2.706174
-0.848040,2.355190,2.719175
-0.842133,2.352444,2.727226
-0.842133,2.352444,2.727226
-0.824179,2.344668,2.757629
-0.812835,2.339938,2.774046
-0.799875,2.334772,2.800155
-0.786182,2.329673,2.829061
-0.786182,2.329673,2.829061
-0.759625,2.320500,2.860788
-0.752600,2.317872,2.879157
-0.745616,2.315658,2.894847
-0.741629,2.313815,2.922254
-0.740631,2.312363,2.941154
-0.740744,2.311760,2.956743
-0.742803,2.311646,2.968612
-0.746676,2.311777,2.985062
-0.752546,2.311964,2.997712
-0.752546,2.311964,2.997712
-0.785892,2.315492,3.035369
-0.785892,2.315492,3.035369
-1.227849,2.107427,1.512817
-1.224574,2.115896,1.790013
-1.224574,2.115896,1.790013
-1.223846,2.133610,2.266634
-1.223846,2.133610,2.266634
-1.226381,2.146601,2.554213
-1.226381,2.146601,2.554213
-1.220101,2.149524,2.706764
-1.220030,2.149875,2.786279
-1.222512,2.151128,2.867109
-1.226002,2.152848,2.944497
-1.225348,2.152005,2.961848
-1.222149,2.150922,2.982214
-1.217302,2.149605,3.000092
-1.210379,2.148566,3.014425
-1.204066,2.147679,3.029500
-1.193912,2.146789,3.038503
-1.183098,2.145921,3.041027
-1.170227,2.145044,3.041608
-1.155582,2.144152,3.046898
-1.139475,2.143257,3.053450
-1.122239,2.142351,3.061519
-1.122239,2.142351,3.061519
-1.085128,2.141011,3.077474
-1.085128,2.141011,3.077474
-1.033933,2.140113,-3.141427
