x,y,theta
-0.006009,0.066330,-1.536322
-0.005173,0.047185,-1.554264
-0.004671,0.033991,-1.570301
-0.003904,0.023429,-1.594893
-0.003297,0.012132,-1.622276
-0.002633,0.005126,-1.648298
-0.002254,-0.000347,-1.669639
-0.001742,-0.003665,-1.685863
-0.001078,-0.004800,-1.699695
-0.000189,-0.004368,-1.713496
0.000872,-0.001921,-1.728664
0.002074,0.001782,-1.738098
0.003307,0.007329,-1.749772
0.004714,0.014423,-1.761470
0.006515,0.023287,-1.772343
0.008658,0.033514,-1.783022
0.011204,0.045620,-1.794815
0.014035,0.059087,-1.809357
0.017185,0.073929,-1.825249
0.020759,0.090251,-1.844792
0.025249,0.107733,-1.859044
0.030578,0.126681,-1.867592
0.036252,0.146998,-1.876682
0.039623,0.160099,-1.888419
0.043202,0.172722,-1.898888
0.045603,0.183478,-1.917091
0.047951,0.191981,-1.932585
0.049282,0.198726,-1.950831
0.050140,0.203359,-1.966758
0.050424,0.206395,-1.981958
0.049927,0.207460,-1.998436
0.048855,0.206850,-2.012738
0.047285,0.204921,-2.027057
0.044771,0.201554,-2.043193
0.041971,0.196908,-2.054048
0.038415,0.190704,-2.066128
0.034083,0.183197,-2.078844
0.029063,0.174426,-2.091641
0.023104,0.164580,-2.105040
0.016688,0.153441,-2.118295
0.009335,0.141023,-2.133142
0.001033,0.127337,-2.149714
-0.008168,0.112829,-2.163023
-0.018734,0.097332,-2.174211
-0.029859,0.081375,-2.186618
-0.041827,0.064295,-2.199064
-0.053635,0.047729,-2.216235
-0.060743,0.037546,-2.227471
-0.067884,0.026771,-2.249117
-0.075208,0.016679,-2.255969
-0.079396,0.010242,-2.269943
-0.082602,0.004863,-2.280041
-0.084969,0.000972,-2.283844
-0.085752,-0.001096,-2.285353
-0.085712,-0.001732,-2.291047
-0.085712,-0.001732,-2.291047
-0.082415,0.001271,-2.304294
-0.078989,0.004580,-2.310595
-0.074398,0.009254,-2.316244
-0.068709,0.015301,-2.326150
-0.062149,0.022540,-2.337039
-0.054400,0.031184,-2.350130
-0.045702,0.040749,-2.365719
-0.035522,0.051405,-2.388506
-0.024212,0.062908,-2.412119
-0.011575,0.075012,-2.439200
0.002392,0.087878,-2.465286
0.017344,0.100626,-2.487930
0.034140,0.113926,-2.507213
0.052313,0.127806,-2.519250
0.064449,0.137233,-2.528334
0.075664,0.146192,-2.537918
0.086307,0.154509,-2.544322
0.094883,0.160903,-2.552228
0.100237,0.166934,-2.573614
0.105343,0.171607,-2.586395
0.108709,0.174739,-2.594078
0.110810,0.176808,-2.595261
0.111170,0.177537,-2.593019
0.110448,0.176971,-2.578738
0.109051,0.175632,-2.537626
0.106661,0.173683,-2.473693
0.103600,0.170437,-2.401819
0.099320,0.166119,-2.335650
0.094144,0.160774,-2.278145
0.088293,0.154343,-2.223773
0.081363,0.146187,-2.166632
0.074271,0.136963,-2.112336
0.066898,0.126082,-2.052144
0.059397,0.113740,-1.993788
0.052172,0.099862,-1.931369
0.045208,0.084726,-1.872234
0.039120,0.067818,-1.832168
0.033443,0.050550,-1.799449
0.029729,0.041529,-1.761637
0.026270,0.032257,-1.737665
0.022436,0.022610,-1.710167
0.019363,0.018350,-1.687475
0.017305,0.014663,-1.674179
0.015540,0.012910,-1.669675
0.014168,0.013529,-1.664134
0.013181,0.015654,-1.660351
0.012485,0.019452,-1.662050
0.012152,0.025022,-1.665602
0.012175,0.031952,-1.672059
0.012443,0.040726,-1.684348
0.012961,0.051044,-1.702623
0.013761,0.062735,-1.722128
0.014928,0.076209,-1.743420
0.016689,0.091317,-1.765358
0.019245,0.107492,-1.786706
0.022768,0.124858,-1.805654
0.026746,0.143022,-1.812873
0.028924,0.153837,-1.827165
0.030888,0.164994,-1.843350
0.032651,0.173630,-1.855419
0.033480,0.179731,-1.871489
0.034050,0.184640,-1.886369
0.034231,0.187344,-1.900194
0.033797,0.188494,-1.915431
0.032808,0.187883,-1.931183
0.031699,0.185894,-1.941508
0.029611,0.182396,-1.955734
0.027099,0.177732,-1.969474
0.024188,0.171363,-1.981585
0.020792,0.163829,-1.993821
0.016728,0.155005,-2.007419
0.011908,0.144440,-2.017515
0.006485,0.133091,-2.029940
0.000286,0.120365,-2.041519
-0.006595,0.106272,-2.051398
-0.014392,0.091191,-2.061852
-0.022950,0.074661,-2.070869
-0.032362,0.057110,-2.078632
-0.039500,0.043191,-2.091527
-0.044655,0.033219,-2.106348
-0.050426,0.022591,-2.114840
-0.054792,0.015510,-2.119504
-0.057086,0.009239,-2.151345
-0.058956,0.005668,-2.170713
-0.060066,0.003234,-2.193136
-0.059830,0.002926,-2.213643
-0.058433,0.003827,-2.239260
-0.056098,0.006127,-2.266428
-0.052889,0.010120,-2.300927
-0.048609,0.014931,-2.336325
-0.043158,0.021376,-2.372996
-0.036426,0.028738,-2.413478
-0.028546,0.036997,-2.456195
-0.019218,0.046083,-2.502162
-0.008655,0.055860,-2.549504
0.003803,0.066068,-2.593077
0.018305,0.075965,-2.618290
0.030881,0.084046,-2.637087
0.038923,0.089359,-2.649191
0.047492,0.094751,-2.660089
0.054475,0.098409,-2.673900
0.059070,0.101335,-2.686456
0.062826,0.103354,-2.699296
0.064747,0.104385,-2.711633
0.065603,0.104884,-2.720898
0.065651,0.104963,-2.725751
0.065163,0.104648,-2.721938
0.064892,0.104497,-2.716874
0.064770,0.104407,-2.711560
0.064665,0.104361,-2.712850
0.064778,0.104428,-2.712189
0.064838,0.104451,-2.712662
0.064776,0.104400,-2.712577
0.064809,0.104421,-2.712547
0.064804,0.104415,-2.712544
0.064797,0.104422,-2.712752
0.064800,0.104410,-2.712589
0.064787,0.104408,-2.712719
0.064773,0.104406,-2.712396
0.064791,0.104414,-2.712701
0.064783,0.104411,-2.712761
0.064780,0.104408,-2.712612
0.064762,0.104397,-2.712225
0.064777,0.104413,-2.712704
0.064776,0.104408,-2.712698
0.064767,0.104398,-2.712440
0.064771,0.104394,-2.712476
0.064766,0.104390,-2.712617
0.064768,0.104396,-2.712520
0.064765,0.104394,-2.712491
0.064760,0.104395,-2.712638
0.064758,0.104395,-2.712654
0.064756,0.104396,-2.712573
0.064762,0.104395,-2.712594
0.064749,0.104393,-2.712618
0.064752,0.104390,-2.712716
0.064736,0.104385,-2.712382
0.064738,0.104385,-2.712459
0.064745,0.104390,-2.712750
0.064730,0.104381,-2.712476
0.064742,0.104386,-2.712678
0.064713,0.104376,-2.712172
0.064710,0.104374,-2.712151
0.064714,0.104375,-2.712250
0.064709,0.104373,-2.712232
0.064708,0.104381,-2.712360
0.064703,0.104373,-2.712149
0.064706,0.104376,-2.712175
0.064703,0.104378,-2.712259
0.064705,0.104371,-2.712166
0.064701,0.104374,-2.712138
0.064699,0.104377,-2.712220
0.064702,0.104373,-2.712193
0.064699,0.104375,-2.712343
0.064702,0.104373,-2.712186
0.064706,0.104369,-2.712284
0.064701,0.104370,-2.712171
0.064703,0.104370,-2.712233
0.064704,0.104375,-2.712289
0.064703,0.104368,-2.712234
0.064701,0.104368,-2.712220
0.064704,0.104368,-2.712324
0.064710,0.104367,-2.712360
0.064691,0.104367,-2.712221
0.064698,0.104371,-2.712201
0.064701,0.104368,-2.712197
0.064695,0.104366,-2.712234
0.064691,0.104357,-2.712105
0.064695,0.104358,-2.712188
0.064687,0.104356,-2.712260
0.064677,0.104355,-2.712196
0.064684,0.104356,-2.712111
0.064691,0.104353,-2.712126
0.064683,0.104350,-2.712192
0.064691,0.104333,-2.712207
0.064704,0.104356,-2.712363
0.064704,0.104362,-2.712210
0.064697,0.104359,-2.712244
0.064695,0.104366,-2.712231
0.064692,0.104357,-2.712325
0.064692,0.104355,-2.712350
0.064680,0.104358,-2.712106
0.064700,0.104354,-2.712310
0.064693,0.104353,-2.712249
0.064680,0.104338,-2.712242
0.064698,0.104361,-2.712369
0.064698,0.104358,-2.712344
0.064692,0.104380,-2.712574
0.064685,0.104362,-2.712157
0.064690,0.104365,-2.712222
0.064681,0.104362,-2.712357
0.064675,0.104346,-2.712122
0.064680,0.104355,-2.712251
0.064689,0.104357,-2.712383
0.064692,0.104348,-2.712321
0.064686,0.104355,-2.712135
0.064687,0.104355,-2.712277
0.064692,0.104358,-2.712376
0.064677,0.104344,-2.712174
0.064672,0.104356,-2.712088
0.064686,0.104386,-2.712663
0.064685,0.104366,-2.712468
0.064676,0.104351,-2.712195
0.064680,0.104349,-2.712224
0.064695,0.104350,-2.712288
0.064692,0.104350,-2.712484
0.064678,0.104363,-2.712532
0.064689,0.104360,-2.712542
0.064693,0.104368,-2.712660
0.064676,0.104362,-2.712275
0.064675,0.104356,-2.712237
0.064688,0.104350,-2.712383
0.064694,0.104351,-2.712620
0.064679,0.104352,-2.712442
0.064688,0.104346,-2.712504
0.064714,0.104347,-2.712843
0.064691,0.104364,-2.712725
0.064697,0.104354,-2.712538
0.064684,0.104365,-2.712734
0.064689,0.104364,-2.712600
0.064678,0.104367,-2.712605
0.064686,0.104370,-2.712625
0.064691,0.104369,-2.712832
0.064686,0.104351,-2.712691
0.064677,0.104359,-2.712571
0.064702,0.104356,-2.712530
0.064689,0.104357,-2.712658
0.064681,0.104369,-2.712731
0.064676,0.104364,-2.712542
0.064688,0.104372,-2.712737
0.064707,0.104367,-2.712896
0.064687,0.104362,-2.712605
0.064684,0.104369,-2.712824
0.064692,0.104368,-2.712513
0.064687,0.104365,-2.712782
0.064662,0.104359,-2.712636
0.064679,0.104358,-2.712600
0.064679,0.104363,-2.712529
0.064678,0.104346,-2.712560
0.064681,0.104349,-2.712524
0.064688,0.104367,-2.712788
0.064688,0.104341,-2.712589
0.064684,0.104356,-2.712632
0.064688,0.104354,-2.712775
0.064689,0.104352,-2.712781
0.064684,0.104356,-2.712724
0.064677,0.104344,-2.712628
0.064676,0.104342,-2.712661
0.064686,0.104358,-2.712627
0.064690,0.104354,-2.712686
0.064687,0.104350,-2.712780
0.064693,0.104368,-2.712916
0.064667,0.104359,-2.712647
0.064662,0.104351,-2.712294
0.064668,0.104354,-2.712498
0.064680,0.104356,-2.712630
0.064668,0.104356,-2.712591
0.064665,0.104374,-2.712717
0.064678,0.104358,-2.712465
0.064709,0.104368,-2.712146
0.064615,0.104333,-2.712713
0.064699,0.104329,-2.712717
0.064703,0.104368,-2.712812
